,close
0,38677.6
1,38736.8
2,37747.6
3,37788.4
4,37841.1
5,38059.0
6,38054.9
7,38151.8
8,38533.0
9,38492.9
10,38676.0
11,39074.9
12,39079.5
13,39165.7
14,39113.1
15,38899.6
16,38834.7
17,38880.9
18,39140.1
19,38950.0
20,38848.6
21,38757.1
22,38678.0
23,38819.9
24,38724.8
25,38734.7
26,39325.6
27,39689.2
28,39571.6
29,38843.4
30,39004.8
31,38779.8
32,38802.8
33,38762.3
34,38768.4
35,38445.7
36,38401.0
37,38587.4
38,38659.8
39,38657.1
40,38866.4
41,38728.8
42,39068.3
43,39027.0
44,39187.7
45,39318.1
46,39421.6
47,39732.3
48,39441.9
49,39655.1
50,39486.5
51,39325.4
52,39187.3
53,39526.7
54,40871.5
55,39185.3
56,39122.0
57,39326.3
58,39609.1
59,39568.1
60,40334.9
61,40521.3
62,40327.0
63,40544.4
64,40390.1
65,40632.4
66,40820.3
67,40619.3
68,40317.6
69,40441.1
70,39986.5
71,40898.4
72,41253.5
73,41126.7
74,40900.1
75,41124.0
76,41030.8
77,41237.0
78,41146.3
79,41045.0
80,41380.9
81,41091.2
82,40766.7
83,40742.8
84,40841.7
85,40823.8
86,40747.0
87,40756.0
88,41017.8
89,41143.2
90,40845.4
91,40814.9
92,40799.9
93,40832.7
94,40821.9
95,40866.0
96,40721.7
97,41012.4
98,41000.1
99,40945.6
100,40308.5
101,40549.0
102,40537.3
103,40569.7
104,40650.0
105,40782.1
106,40762.6
107,40591.0
108,40619.4
109,40534.1
110,40413.7
111,40404.0
112,40465.6
113,40609.9
114,40592.7
115,40943.0
116,41439.4
117,41700.2
118,41707.1
119,42047.0
120,41762.6
121,41828.0
122,41720.3
123,41775.1
124,41900.6
125,41787.0
126,41797.7
127,41814.3
128,41815.9
129,41767.8
130,41786.9
131,41629.7
132,41731.6
133,41704.3
134,41719.8
135,41748.7
136,41880.0
137,41769.0
138,41860.4
139,41995.1
140,42013.4
141,41907.8
142,42062.6
143,42069.7
144,42229.8
145,42138.5
146,41989.1
147,42218.0
148,42063.5
149,41999.4
150,41847.9
151,41972.7
152,41880.6
153,41932.0
154,41944.5
155,41883.3
156,41900.1
157,41785.4
158,41789.8
159,41633.6
160,41681.5
161,41504.1
162,41438.8
163,41374.1
164,41320.9
165,41031.6
166,41228.3
167,41397.6
168,41309.7
169,41382.0
170,41424.0
171,41289.0
172,41435.3
173,41240.3
174,40807.3
175,40883.6
176,40905.1
177,40969.1
178,40870.7
179,41128.4
180,41207.0
181,41348.6
182,41375.6
183,41280.9
184,41247.4
185,41164.4
186,41023.9
187,41242.9
188,40810.1
189,41064.9
190,40953.4
191,41183.5
192,41139.6
193,41313.9
194,41100.0
195,41014.3
196,41155.3
197,41200.0
198,41865.1
199,42250.9
200,43007.5
201,42885.4
202,42249.0
203,42250.6
204,42573.3
205,42500.0
206,42860.9
207,43000.0
208,42974.9
209,42860.1
210,42782.8
211,42594.5
212,42535.0
213,42614.9
214,42606.8
215,42307.6
216,42625.7
217,42847.6
218,42547.9
219,42377.8
220,42405.5
221,42323.9
222,42383.9
223,42107.1
224,41966.5
225,42058.3
226,42250.7
227,42125.8
228,42259.1
229,42180.5
230,42172.5
231,42067.9
232,42385.0
233,42056.4
234,42394.4
235,42663.9
236,42603.2
237,42177.3
238,42112.1
239,42239.3
240,42365.7
241,42416.0
242,42508.2
243,42910.3
244,43082.7
245,42843.6
246,42972.5
247,42743.2
248,42927.3
249,43045.8
250,43235.6
251,43107.4
252,43078.2
253,43042.9
254,43036.8
255,42964.3
256,42836.2
257,43004.1
258,43587.7
259,44021.2
260,44028.0
261,43844.0
262,44009.0
263,43940.6
264,43898.7
265,44057.6
266,43983.0
267,43989.0
268,44000.3
269,44163.2
270,43957.3
271,43974.0
272,44106.6
273,44100.0
274,44118.9
275,43961.1
276,44035.3
277,44140.4
278,44263.1
279,44633.8
280,44874.8
281,45006.4
